Ticker;Price;Volatility
JAGX;18.255;105,13%
CODX;4,79;98,06%
CHNR;2,42;93,72%
NLST;0,231;66,45%
ONVO;1,45;47,57%
AMBO;4,03;42,50%
CLWT;4,75;42,11%
DHX;3,1;41,30%
ZYME;21,86;40,23%
SGRP;1,36;38,05%
GEVO;0,2301;34,96%
DDE;1,95;34,86%
SLS;5,53;34,10%
PBR;10,13;33,70%
PBR.A;8,56;33,17%
UONE;2,9;33,06%
DGSE;0,7368;32,37%
FTFT;2,18;30,62%
WMLP;2,16;30,57%
PAVM;1;27,46%
CTHR;1,1;26,67%
NVLN;3,89;26,04%
AXON;1,92;25,75%
KTOV;2,58;24,18%
ZUO;26,4;23,94%
MOXC;2,15;23,83%
SHLD;2,28;23,79%
CADC;3,1;23,64%
TKAT;2,12;23,15%
VKTX;9,75;22,34%
AGLE;9,99;21,95%
SPHS;3,45;21,87%
SCPH;8,92;21,76%
ALN;0,1697;21,11%
CCRC;17,56;20,51%
ENG;1,3;20,26%
CTRV;1,55;20,00%
LTRPB;17,05;19,78%
ACMR;14,06;19,47%
ZN;3,17;19,21%
IGLD;2,8;19,19%
CRMD;0,26;19,13%
ATIS;0,5025;19,02%
ABLX;52,37;18,79%
LLEX;5,51;18,74%
CLNE;2,85;18,50%
CWBR;7,1;18,19%
KIDS;24,2;17,85%
BRFS;6,26;17,76%
FSNN;3,92;17,71%
ANY;0,515;17,55%
GMLP;15,14;17,52%
CRIS;2,49;17,36%
AIPT;1,17;17,12%
TIS;3,62;16,86%
TRX;0,5;16,67%
AKER;0,45;16,64%
LULU;122,19;16,60%
TROV;0,223;16,50%
JKS;15,14;16,46%
IRDM;15,95;16,45%
VSTM;5,33;16,29%
ALT;0,587;16,24%
OGEN;1,45;16,23%
NKTR;90,35;16,19%
RSLS;0,3045;16,07%
LKM;1,3;16,07%
NEON;0,3201;15,91%
BHTG;3,63;15,88%
TTOO;8,19;15,85%
FCSC;2,4;15,84%
BPMX;0,2678;15,66%
BLFS;10,28;15,63%
MBVX;1,04;15,49%
PERY;27,18;15,45%
SRRK;19,65;15,42%
FWP;2,91;15,36%
CPSH;1,77;15,29%
XSPA;0,3926;15,14%
CIG.C;1,92;15,10%
DXC;83,4;15,07%
TWMC;1,1;15,00%
TRVG;5,3;14,90%
SESN;2,52;14,88%
BOXL;7,04;14,81%
ASTC;1,79;14,70%
DTRM;1,55;14,70%
MBII;1,66;14,67%
CNAT;4,28;14,45%
IQ;28,46;14,23%
ACHV;9,59;14,18%
DQ;52,72;14,13%
I;16,99;14,10%
SM;23,19;14,08%
IZEA;1,43;13,96%
LASR;40,84;13,86%
VNOM;30,4;13,84%
MDGL;274,42;13,66%
GTIM;3,75;13,64%
NVUS;7,71;13,44%
SEED;0,7217;13,41%
PULM;0,49;13,38%
VVPR;2,42;13,36%
OHRP;0,215;13,32%
BDR;1,36;13,30%
NXEOU;9,69;13,26%
AMCN;0,75;13,26%
EDAP;2,27;13,23%
ASV;6,56;13,23%
AYTU;0,34;13,22%
UWN;2,28;13,21%
EOLS;27,28;13,16%
OHGI;0,5482;13,12%
BIG;38,69;13,01%
GHG;20,83;13,01%
ENT;2,42;12,89%
GEMP;6,72;12,87%
VALU;22;12,83%
UONEK;2;12,82%
MTSL;1,5;12,77%
DOVA;23,49;12,73%
NVCN;0,0328;12,70%
SNES;1,4;12,70%
MRSN;20,7;12,69%
OESX;0,8701;12,50%
MTNB;0,5958;12,42%
JMU;0,5097;12,38%
REN;32,5;12,28%
IFON;2,87;12,28%
SE;16,31;12,27%
TNTR;0,43;12,20%
CRK;10,97;12,18%
DTEA;4,15;12,16%
SGLB;1,52;12,16%
XTNT;5,33;12,07%
TMSR;8,2;12,07%
MLSS;0,85;12,03%
CRSP;67,13;11,98%
JRSH;7,65;11,89%
MYOS;1,47;11,85%
ANF;21,77;11,81%
IDSY;5,99;11,79%
YRD;24,84;11,79%
AMMA;0,3571;11,76%
JRJC;2,02;11,73%
RRTS;1,75;11,66%
COLL;24,37;11,65%
NEXT;7,01;11,63%
CFMS;1,37;11,63%
NEO;12,54;11,61%
DFBG;0,95;11,60%
CPRX;3,63;11,58%
ADOM;1,47;11,43%
PFNX;5,47;11,41%
IMRN;9;11,33%
OCX;3,3;11,29%
CTIB;4,4;11,27%
LPI;8,5;11,27%
TRXC;3,75;11,27%
YEXT;16,98;11,23%
AP;10,35;11,22%
RMNI;5,3;11,18%
ATV;34,78;11,16%
JAG;11,27;11,16%
RIOT;7,39;11,11%
TOPS;0,79;11,11%
RKDA;11,75;11,07%
WWR;0,37;11,05%
GBR;1,38;11,03%
BIOC;0,21;11,01%
AZRX;2,63;10,97%
MRNS;6,44;10,97%
IMUC;0,25;10,96%
CALI;2,92;10,95%
BITA;26,01;10,95%
SILC;41,77;10,94%
BURG;3,02;10,87%
CSS;16,18;10,82%
FRED;1,38;10,77%
PANL;3,23;10,76%
STG;10,48;10,76%
HEAR;18,84;10,73%
MLNT;6,65;10,69%
CUTR;44,2;10,66%
EDUC;21,7;10,65%
FTNW;20,06;10,65%
SCON;0,985;10,65%
YGYI;3,59;10,58%
MTDR;26,4;10,57%
VIVE;2,75;10,57%
RTTR;3,94;10,56%
AAOI;45,02;10,56%
DIT;86;10,53%
LXRX;12,28;10,51%
NVMM;1,68;10,47%
ICD;4;10,41%
PTEN;19,5;10,39%
GLOW;0,1988;10,38%
NGVC;11,18;10,36%
RDVT;7,91;10,35%
BAS;12,52;10,34%
SKY;33,39;10,34%
KOSS;2,22;10,34%
INTX;2,19;10,33%
EDIT;37,01;10,31%
HMNY;0,4355;10,29%
EYES;1,94;10,24%
MXC;5,07;10,21%
NAUH;1,19;10,19%
AERI;54,5;10,15%
CRON;6,84;10,14%
CATS;6,41;10,10%
MOTS;5,88;10,09%
PUMP;15,28;10,07%
NXE;2,06;10,05%
ARLZ;0,39;10,05%
DLHC;5,19;10,00%
EMAN;1,6;10,00%
OPGN;2,27;9,98%
HAIR;3,08;9,97%
COOL;27,32;9,97%
ABIL;2,4;9,95%
CPE;11,12;9,94%
NTRP;10,44;9,93%
NTN;4,07;9,87%
RXII;2,52;9,87%
NAKD;1,55;9,86%
QHC;4,46;9,83%
JONE;0,5;9,80%
STAF;1,6;9,80%
SAEX;1,41;9,79%
BSPM;2,42;9,79%
