,Ticker,Price,Volatility,Industry,margin,window_length,mcr
492,AWI,61.5,0.0173,Construction Materials
854,CADC,3.1,0.2364,Construction Materials
1237,CPAC,11.94,0.005,Construction Materials
1278,CRH,37.15,0.0192,Construction Materials
1408,CX,5.95,0.0202,Construction Materials
2058,EXP,108.16,0.0166,Construction Materials
2373,FRTA,8.41,0.0722,Construction Materials
2499,GCP,32.0,0.0174,Construction Materials
3374,JHX,17.13,0.0224,Construction Materials
3697,LOMA,12.8,0.0395,Construction Materials
3929,MLM,225.15,0.0199,Construction Materials
4220,NOA,6.4,0.048,Construction Materials
5033,RETO,5.17,0.0514,Construction Materials
5518,SND,5.96,0.0525,Construction Materials
5719,SUM,27.6,0.0501,Construction Materials
6183,USCR,60.55,0.0221,Construction Materials
6192,USG,41.41,0.0129,Construction Materials
6327,VMC,129.32,0.0182,Construction Materials
6672,YECO,3.11,0.0526,Construction Materials
