ticker,industry
A,advanced medical equipment & technology
AA,aluminum
AABA,closed end funds
AAC,healthcare facilities & services
AADR,exchange traded fund
AAL,airlines
AAMC,real estate services
AAME,life & health insurance
AAN,computer & electronics retailers
AAOI,communications & networking
AAON,electrical components & equipment
AAP,"auto vehicles, parts & service retailers"
AAPL,phones & handheld devices
AAT,commercial reits
AAU,gold
AAV,oil & gas exploration and production
AAWW,air freight & courier services
AAXJ,exchange traded fund
AAXN,aerospace & defense
AB,investment management & fund operators
ABAC,fishing & farming
ABAX,advanced medical equipment & technology
ABB,heavy electrical equipment
ABBV,pharmaceuticals
ABC,drug retailers
ABCB,banks
ABCD,personal services
ABEO,biotechnology & medical research
ABEV,brewers
ABG,"auto vehicles, parts & service retailers"
ABIL,it services & consulting
ABIO,pharmaceuticals
ABM,business support services
ABMD,advanced medical equipment & technology
ABR,diversified reits
ABT,pharmaceuticals
ABTX,banks
ABUS,pharmaceuticals
ABX,gold
AC,investment management & fund operators
ACAD,biotechnology & medical research
ACBI,banks
ACC,residential reits
ACCO,business support supplies
ACER,biotechnology & medical research
ACET,pharmaceuticals
ACGL,property & casualty insurance
ACH,aluminum
ACHC,healthcare facilities & services
ACHN,biotechnology & medical research
ACHV,biotechnology & medical research
ACIA,communications & networking
ACIM,exchange traded fund
ACIU,biotechnology & medical research
ACIW,it services & consulting
ACLS,semiconductor equipment & testing
ACM,construction & engineering
ACMR,semiconductor equipment & testing
ACN,it services & consulting
ACNB,banks
ACOR,biotechnology & medical research
ACRE,specialized reits
ACRS,biotechnology & medical research
ACRX,biotechnology & medical research
ACSI,exchange traded fund
ACST,pharmaceuticals
ACT,exchange traded fund
ACTG,business support services
ACU,business support supplies
ACWF,exchange traded fund
ACWI,exchange traded fund
ACWV,exchange traded fund
ACWX,exchange traded fund
ACXM,it services & consulting
ACY,corporate financial services
ADAP,biotechnology & medical research
ADBE,software
ADC,commercial reits
ADES,environmental services & equipment
ADI,semiconductors
ADM,food processing
ADMA,biotechnology & medical research
ADMP,pharmaceuticals
ADMS,biotechnology & medical research
ADNT,auto & truck manufacturers
ADOM,"auto, truck & motorcycle parts"
ADP,it services & consulting
ADRA,exchange traded fund
ADRD,exchange traded fund
ADRE,exchange traded fund
ADRO,biotechnology & medical research
ADRU,exchange traded fund
ADS,business support services
ADSK,software
ADSW,environmental services & equipment
ADTN,communications & networking
ADUS,healthcare facilities & services
ADVM,biotechnology & medical research
ADXS,biotechnology & medical research
AE,oil & gas refining and marketing
AEE,multiline utilities
AEG,life & health insurance
AEGN,construction & engineering
AEHR,industrial machinery & equipment
AEIS,semiconductors
AEL,life & health insurance
AEM,gold
AEMD,"medical equipment, supplies & distribution"
AEO,apparel & accessories retailers
AEP,electric utilities
AER,corporate financial services
AERI,biotechnology & medical research
AES,electric utilities
AET,managed health care
AETI,electrical components & equipment
AEY,communications & networking
AEZS,biotechnology & medical research
AFG,property & casualty insurance
AFH,property & casualty insurance
AFI,construction supplies & fixtures
AFK,exchange traded fund
AFL,life & health insurance
AFMD,biotechnology & medical research
AFSI,property & casualty insurance
AFTY,exchange traded fund
AG,precious metals & minerals
AGCO,heavy machinery & vehicles
AGEN,biotechnology & medical research
AGFS,it services & consulting
AGG,exchange traded fund
AGGE,exchange traded fund
AGGP,exchange traded fund
AGGY,exchange traded fund
AGI,gold
AGIO,biotechnology & medical research
AGLE,biotechnology & medical research
AGM,corporate financial services
AGM.A,corporate financial services
AGMH,it services & consulting
AGN,pharmaceuticals
AGNC,specialized reits
AGND,exchange traded fund
AGO,property & casualty insurance
AGQ,exchange traded fund
AGR,multiline utilities
AGRO,fishing & farming
AGRX,biotechnology & medical research
AGS,casinos & gaming
AGT,exchange traded fund
AGTC,biotechnology & medical research
AGX,construction & engineering
AGYS,software
AGZ,exchange traded fund
AGZD,exchange traded fund
AHC,consumer publishing
AHH,commercial reits
AHL,reinsurance
AHPA,holding companies
AHPI,advanced medical equipment & technology
AHT,specialized reits
AI,investment management & fund operators
AIA,exchange traded fund
AIEQ,exchange traded fund
AIG,multiline insurance & brokers
AIHS,consumer lending
AIMC,industrial machinery & equipment
AIMT,pharmaceuticals
AIN,industrial machinery & equipment
AINC,investment management & fund operators
AINV,closed end funds
AIPT,advanced medical equipment & technology
AIQ,exchange traded fund
AIR,aerospace & defense
AIRG,communications & networking
AIRI,aerospace & defense
AIRR,exchange traded fund
AIRT,air freight & courier services
AIT,industrial machinery & equipment
AIV,residential reits
AIZ,multiline insurance & brokers
AJG,multiline insurance & brokers
AJRD,aerospace & defense
AJX,specialized reits
AKAM,it services & consulting
AKAO,biotechnology & medical research
AKBA,biotechnology & medical research
AKCA,pharmaceuticals
AKER,biotechnology & medical research
AKG,gold
AKO.A,non-alcoholic beverages
AKO.B,non-alcoholic beverages
AKR,commercial reits
AKRX,pharmaceuticals
AKS,steel
AKTS,software
AKTX,biotechnology & medical research
AL,business support services
ALB,commodity chemicals
ALBO,biotechnology & medical research
ALCO,fishing & farming
ALD,exchange traded fund
ALDR,biotechnology & medical research
ALDX,biotechnology & medical research
ALE,electric utilities
ALEX,real estate development & operations
ALFA,exchange traded fund
ALFI,exchange traded fund
ALG,heavy machinery & vehicles
ALGN,"medical equipment, supplies & distribution"
ALGT,airlines
ALIM,pharmaceuticals
ALJJ,steel
ALK,airlines
ALKS,biotechnology & medical research
ALL,property & casualty insurance
ALLE,communications & networking
ALLT,integrated telecommunications services
ALLY,consumer lending
ALN,food processing
ALNA,biotechnology & medical research
ALNY,biotechnology & medical research
ALO,gold
ALOG,advanced medical equipment & technology
ALOT,computer hardware
