ticker;price
A;69,92
ABAX;73,74
ABC;98,58
ABG;69,05
ABMD;295,85
ACH;14,46
ACLS;26,65
ADBE;218,44
ADS;230,33
ADSK;136,19
ADTN;16,25
AEHR;2,33
AEIS;70
AEO;19,6
AEP;66,59
AHPI;3,35
AIN;66,95
AJG;70,74
AKAM;73,25
AKS;4,86
ALG;114,83
ALGN;272,48
ALSK;2,11
ALXN;122,68
AMC;15,05
AMGN;190,57
AMKR;11,13
AMN;59,45
AMSC;5,52
AMSWA;13,23
AMWD;112,8
AMZN;1591
ANF;22,05
ANSS;166,95
ANTM;229,03
APF;18,77
APU;42,29
ARKR;24,7
ARLP;17,65
ARNA;36,03
ARQL;1,8
ARRY;17,59
ASFI;4,3
ASGN;82,75
ASTE;58,91
ASX;7,35
ATVI;74,22
AUDC;7,56
AVID;5,09
AWRE;4,15
AXL;14,77
AZO;649,3
AZPN;81,21
BABY;32,95
BASI;1,68
BBGI;10,4
BBSI;84,66
BCC;41,05
BCRX;5,39
BDC;76,67
BDN;16,06
BDSI;2,2
BELFA;19,49
BELFB;19,85
BFAM;99,99
BGC;29,85
BGFV;6,85
BHE;31,35
BKU;41,9
BLK;558,96
BMRN;85,95
BPL;44,76
BPT;22,7
BRKS;29,3
BSQR;3,8
BSTC;43
BSX;28,01
BTN;5,35
BTO;39,75
BTU;39,36
BTX;2,77
BVSN;2,65
BYD;33,86
BZH;16,4
CACC;332,84
CAMT;7
CATC;85,79
CBB;14,95
CBI;18,54
CCI;112,08
CCMP;113,65
CCRN;11,91
CCS;30,8
CECO;13,85
CEIX;29,97
CENT;41,25
CENTA;38,55
CENX;20,45
CETV;4,25
CFFN;12,85
CFG;45,13
CGEN;4,35
CGI;4,55
CHK;3,03
CHKE;1,35
CHKP;104,95
CHRW;89,74
CHS;8,87
CHTR;340,96
CINF;74,05
CIX;13,35
CKH;47,64
CLB;107,94
CLCT;16,06
CLH;51,96
CLM;15,66
CLS;11,27
CLWT;2,85
CMCO;36,53
CNBKA;78
CNC;103,56
CNI;74,63
CNXN;26,09
COLB;43,34
COLM;77,26
COST;184,63
CPK;70,35
CPRT;50,71
CPSI;29,8
CPSS;3,8
CRNT;2,83
CRR;7,5
CRT;14,9
CRUS;43,35
CRY;20,7
CRZO;15,56
CSCO;45,28
CSGS;46,95
CSPI;12,33
CSU;12,4
CSV;28,33
CTAS;173,61
CTIB;4,15
CTSH;83,63
CTXS;95,26
CULP;30,1
CVTI;26,92
CVU;8,25
CVV;9,42
CWST;23,79
CY;18,46
CYBE;18,25
CYH;4,43
DAKT;9,07
DDE;1,3
DECK;90,46
DGICA;14,96
DGICB;14,15
DGII;10,65
DHI;44,39
DLTR;92,81
DMRC;28,95
DO;15,18
DRRX;1,87
DSPG;12,7
DST;83,3
DVCR;7,92
DWSN;6,51
EA;127,97
EBAY;42,83
EEI;11,2
EEP;13,1
EEQ;12,2
EFII;28,42
EGHT;19,45
EL;145,09
ELON;4,68
ELTK;4,02
ELY;15,87
EMCI;27,43
EMF;16,95
EMKR;5,75
ENTG;36,15
ENZ;6,73
EPAY;38,71
EQIX;413,71
ESIO;19,67
ESRX;76,7
ETH;24,2
ETM;10
EVC;6,3
EVOL;5,4
EXAS;52,76
EXEL;24,87
EXPE;113,28
EXTR;12,74
FARO;59,95
FBC;36,43
FCF;14,6
FCFS;80,45
FDP;47,49
FDS;211,31
FFBC;28,7
FFG;70,3
FFIN;48,3
FFIV;147,92
FGP;3,45
FHN;19,79
FII;33,14
FIS;100,32
FISI;31,85
FISV;147,59
FIX;42,35
FLIR;50,65
FLL;3,19
FMBI;25,92
FMI;79
FORR;42,75
FRED;2,91
FTS;33,22
GBIL;100
GBNK;29,45
GBX;51,4
GEL;20,64
GEN;1,53
GIFI;8,1
GIGM;2,82
GIL;28,89
GILD;81,1
GILT;8,94
GME;15,46
GNTY;34,87
GPI;74,05
GPK;15,43
GRMN;60,26
GS;264,43
GTLS;59,93
GVP;3,25
HAE;74,28
HBIO;4,55
HDSN;5,47
HFWA;31,7
HIBB;22,7
HIFS;211,48
HMN;43,45
HOLX;38,44
HOS;3,1
HOV;2,04
HSIC;68,3
HSTM;24,56
HTLD;19,28
HUBG;44,8
HYGS;8,85
HZNP;15,31
ICUI;253,55
IDN;2,64
IDSY;6,95
IDTI;32,15
IEC;4,23
IGLD;7,13
IIF;31,13
IIJI;10,75
ILMN;251,79
IMGN;11,58
IMKTA;33,05
IMMR;12,78
INOD;1,2
INTT;7,85
INTU;177,29
IRM;32,98
ISCA;44,55
ISIG;1,63
ISNS;3,05
ISRG;440,77
ITG;20,06
ITRI;74,6
IVC;18,25
JAKK;2,2
JBLU;22,34
JBSS;58,95
JCS;3,74
JHI;16,76
JJSF;138,93
JNPR;26,2
KALU;105,19
KERX;4,72
KFY;50,18
KIRK;9,33
KTCC;7,09
KTEC;26,71
KVHI;10,5
LAD;106,96
LAKE;13,9
LAMR;66,5
LBY;7,14
LGND;179,1
LII;212,2
LINK;5,63
LJPC;29,84
LM;41,06
LMNX;21,36
LPSN;15,45
LRCX;222,64
LSCC;6,29
LSTR;110,7
LTBR;1,42
LTRX;2,25
MAGS;6,14
MANH;44,43
MANT;54,67
MATW;53,45
MBI;8,55
MCHP;97,25
MCRI;44,01
MCY;46,67
MDRX;13,62
MFC;18,66
MFIN;4,7
MGIC;8,4
MGRC;52,82
MHK;248,89
MIND;3,23
MINI;44,05
MKSI;123,25
MLM;206,73
MLR;25,05
MMLP;14
MMS;67,89
MNDO;2,34
MOC;3,09
MON;123,15
MORN;97,48
MRTN;23,1
MRVL;23,4
MS;56,99
MSTR;133,43
MTG;12,78
MTN;223,06
MTRX;15,55
MTSL;1,92
MTX;72,65
MU;59,78
MXIM;62,01
MYGN;29,25
NANO;29,68
NATH;62,85
NBH;13,94
NBIX;92,3
NBO;11,73
NBW;13,04
NCS;17,9
NFX;23,54
NHTC;18,86
NKE;66,2
NOV;37,39
NRCIA;31,85
NRCIB;50,02
NRG;30,2
NRIM;35,95
NSIT;35,12
NTCT;27,55
NUAN;17,48
NVDA;248,74
NVMI;28,11
NWPX;19,82
OBAS;7,95
OCN;4,32
ODFL;145,95
ODP;2,45
OFIX;59,24
OHI;27,32
OII;19,14
OIS;25,65
OLED;125,8
OMCL;44,1
ON;25,74
OPY;27,6
ORLY;249,14
OSIS;67,31
OSTK;48,5
OZRK;51,35
PAA;22,75
PAR;11,26
PAYX;65,89
PB;76,42
PDFS;12,42
PDT;14,96
PEBK;31,48
PEBO;36,02
PEGA;61,9
PENN;27,08
PFBI;18,6
PFG;62,05
PFGC;31,55
PFSW;7,9
PGNX;8,13
PLT;58,46
PLUG;1,94
PLXS;63,91
PMBC;9,25
PMD;20,66
PNFP;66,5
POWI;71,95
PPC;25,77
PRCP;9,04
PRFT;23,75
PRGS;41,05
PRU;108,05
PTIE;7,23
PTSI;35,6
PWR;35,07
PXLW;4,43
PZZA;59,88
QADA;45,6
QADB;34,92
QBAK;9,37
QHC;6,14
QSII;13,17
QTM;4,15
QUIK;1,63
RBA;32,83
RCL;125,63
RDCM;19,6
RDWR;21,64
RECN;16,35
REGN;341,42
RELL;7,96
RGA;158,24
RGS;16,01
RHT;155,04
RIGL;4,27
RMBS;13,74
RMD;98,59
RNR;136,02
RNWK;3,34
ROST;77,18
RRGB;61,7
RS;91,16
RSG;68,45
RTEC;29,5
RUSHA;42,19
RUSHB;39,73
SAFM;125,66
SAFT;77,05
SAH;20,1
SAM;181,8
SATS;58,09
SBAC;170,23
SBCF;27,51
SBGI;33
SBT;13,82
SBUX;58,83
SCHL;37,53
SCHN;35,6
SCHW;55,94
SCON;1,12
SCS;14,35
